"","masterid","latitude","longitude","county"
"1","902RB1xxx",33.40849,-117.22081,"San Diego"
"2","504PS0243",40.14092,-122.14082,"Tehama"
"3","105PS0067",41.13969,-123.13928,"Siskiyou"
"4","902FB1xxx",33.40305,-117.25214,"San Diego"
"5","907SDBOC2",32.96353,-116.66406,"San Diego"
"6","504PS0227",39.98518,-121.96753,"Tehama"
"7","631PS0023",38.47279,-119.35211,"Mono"
"8","507RCBLPF",40.45478,-121.83337,"Shasta"
"9","504PS0083",40.01911,-122.37155,"Tehama"
"10","526PS0396",41.37938,-120.40958,"Modoc"
"11","634PS0019",38.79506,-119.98757,"El Dorado"
"12","527PS0388",41.82541,-120.29449,"Modoc"
"13","305PS0061",37.0826,-121.60109,"Santa Clara"
"14","533SPILSA",38.2758,-120.3361,"Calaveras"
"15","509SPJDXD",40.29337,-121.79067,"Tehama"
"16","513PS0088",38.98619,-122.51628,"Lake"
"17","305PS0057",36.95204,-121.51176,"San Benito"
"18","514PCAPC2",38.9069,-120.5075,"El Dorado"
"19","111PS0110",39.35153,-122.87673,"Lake"
"20","903M20230",33.23967,-117.31776,"San Diego"
"21","902M20237",33.40889,-117.21367,"San Diego"
"22","105PS0107",41.71232,-123.0186,"Siskiyou"
"23","904M21782",33.15476,-117.03441,"San Diego"
"24","534PS0043",38.16445,-120.08842,"Tuolumne"
"25","105PS0069",41.2952,-123.94041,"Humboldt"
"26","635PS0018",39.17813,-120.19164,"Placer"
"27","106PS0106",40.81234,-123.11985,"Trinity"
"28","519CE0011",38.88388,-121.30527,"Placer"
"29","511PS0209",38.38423,-121.92989,"Solano"
"30","105PS0468",41.90294,-121.01732,"Modoc"
"31","105PS0276",41.98998,-120.81077,"Modoc"
"32","511PS0401",38.34013,-121.96993,"Solano"
"33","509PS0170",40.26488,-121.76809,"Tehama"
"34","204PS0094",37.68936,-121.87581,"Alameda"
"35","526PS0756",41.19612,-120.98365,"Modoc"
"36","105PS0540",41.62029,-122.06964,"Siskiyou"
"37","114CE0603",39.24027,-123.32416,"Mendocino"
"38","620PS0669",36.3199,-117.52579,"Inyo"
"39","628CE0088",34.30583,-116.94194,"San Bernardino"
"40","522CE0027",39.29111,-122.56027,"Colusa"
"41","634PS0035",38.87164,-120.09927,"El Dorado"
"42","519PS0278",38.47667,-121.29118,"Sacramento"
"43","114CE0567",38.425,-122.65888,"Sonoma"
"44","628PS0715",34.53576,-117.28954,"San Bernardino"
"45","637CE0511",40.56638,-121.10972,"Lassen"
"46","113PS0120",39.15087,-123.6358,"Mendocino"
"47","603PS0720",36.83146,-118.2214,"Inyo"
"48","635PS0038",39.38237,-120.22623,"Nevada"
"49","111PS0204",39.27704,-122.86602,"Lake"
"50","111PS0121",40.22576,-123.84549,"Humboldt"
"51","304CE0036",37.18883,-122.14441,"Santa Cruz"
"52","106PS0115",41.17285,-122.86988,"Trinity"
"53","722PS0611",33.11256,-116.4447,"San Diego"
"54","518CE0015",39.99444,-120.92,"Plumas"
"55","504PS0371",39.97114,-122.08111,"Tehama"
"56","106PS0124",40.1704,-123.02884,"Trinity"
"57","526PS0808",41.49071,-120.79097,"Modoc"
"58","507PS0314",40.42522,-121.99228,"Shasta"
"59","515PS0410",38.98578,-121.48245,"Sutter"
