"","Name","Filename","COMID1","ID","gagelat","gagelong","HUC_12","geometry"
"1","DUTCH BILL CREEK AT WESTMINSTER WOODS","CaliforniaStreamGages.shp","8273255","C34",52390.0785000008,-261505.068299998,"180101100903",c(-123.000448800152, 38.4504228318257)
"2","SMITH RIVER AT DR FINE BRIDGE","CaliforniaStreamGages.shp","22227026","C41",436770.117000002,-343396.347100001,"180101010404",c(-124.131105963531, 41.8814654545539)
"3","FRENCH CREEK AT HWY 3 NEAR CALLAHAN","CaliforniaStreamGages.shp","3801011","C51",380819.273399999,-239256.2413,"180102080203",c(-122.858926014382, 41.4119285353669)
"4","GREEN VALLEY CK AT MARTINELLI RD","CaliforniaStreamGages.shp","8273219","C63",55261.9440000001,-253346.404300001,"180101100901",c(-122.907908132712, 38.4785320775989)
"5","RUSSIAN RIVER AT GUERNEVILLE BRIDGE","CaliforniaStreamGages.shp","8272675","C66",58091.7766999993,-260775.315299999,"180101100903",c(-122.994146693491, 38.5018971082057)
"6","GRASS VALLEY CREEK","CaliforniaStreamGages.shp","8245934","C68",293259.785700003,-233682.5584,"180102110702",c(-122.761892986462, 40.6248586033034)
"7","LITTLE SHASTA R NR MONTAGUE","CaliforniaStreamGages.shp","3917198","C92",415196.625399999,-195786.0276,"180102070303",c(-122.349905552981, 41.7325078080084)
"8","MARIPOSA CK ABV TOMKI RD","CaliforniaStreamGages.shp","8267775","C103",151086.065800002,-278570.961999997,"180101100202",c(-123.234735019796, 39.3328661191278)
"9","WQ01","CaliforniaStreamGages.shp","8307150","C137",156215.135900002,-286264.162699997,"180101030401",c(-123.326083930544, 39.3765980339979)
"10","WQ03","CaliforniaStreamGages.shp","8307150","C138",156249.9519,-286430.491799999,"180101030401",c(-123.328029104478, 39.3768586256189)
"11","WQ04","CaliforniaStreamGages.shp","8307132","C139",158456.096000003,-287529.085699998,"180101030401",c(-123.341686203858, 39.3963511567003)
"12","WQ05","CaliforniaStreamGages.shp","8307132","C140",158713.915500002,-287414.179099998,"180101030401",c(-123.340457385851, 39.3987062055355)
"13","WQ06","CaliforniaStreamGages.shp","8307044","C141",159675.6986,-287600.637099998,"180101030401",c(-123.343016680679, 39.4072965867902)
"14","WQ07","CaliforniaStreamGages.shp","8307044","C142",160065.255000001,-287392.343599997,"180101030401",c(-123.340757011002, 39.4108660130984)
"15","WQ08","CaliforniaStreamGages.shp","8307132","C143",159955.510300001,-287286.683799999,"180101030401",c(-123.339484881002, 39.4099125430445)
"16","WQ09","CaliforniaStreamGages.shp","8307132","C144",160064.602,-287341.937299998,"180101030401",c(-123.340171286611, 39.4108761191675)
"17","WQ12","CaliforniaStreamGages.shp","8307038","C145",160896.479700001,-287427.899799999,"180101030401",c(-123.341510398652, 39.4183301557514)
"18","WQ13","CaliforniaStreamGages.shp","8307020","C146",161153.747200001,-287567.978999998,"180101030403",c(-123.343242972505, 39.4205994022768)
"19","WQ14","CaliforniaStreamGages.shp","8307020","C147",161380.764900003,-287598.804,"180101030403",c(-123.343694088027, 39.4226312554693)
"20","WQ15","CaliforniaStreamGages.shp","8306962","C148",161973.016100002,-288808.468,"180101030403",c(-123.357989983002, 39.4275728765873)
"21","WQ17","CaliforniaStreamGages.shp","8306962","C149",162304.2138,-288551.603,"180101030403",c(-123.355142114561, 39.4306332448731)
"22","SHASTA R BLW CTY RD A-12 NR GRENADA","CaliforniaStreamGages.shp","3917966","C160",406250.020099999,-208415.598999998,"180102070410",c(-122.498593534628, 41.648952117792)
"23","SHACKLEFORD CK NR MUGGINSVILLE","CaliforniaStreamGages.shp","3799493","C162",404693.647600003,-247412.488899998,"180102080502",c(-122.965244080786, 41.6247950395803)
"24","SUGAR CK NR CALLAHAN","CaliforniaStreamGages.shp","3801139","C166",371512.9902,-238249.308900001,"180102080204",c(-122.843566917278, 41.328358645332)
"25","SHASTA R NR EDGEWOOD","CaliforniaStreamGages.shp","3918384","C173",386598.205500001,-204020.343099998,"180102070104",c(-122.439862876298, 41.4728749197063)
"26","KLAMATH R NR KLAMATH (TURWAR CREEK)","CaliforniaStreamGages.shp","4438356","C186",395700.4936,-334325.8397,"180102091103",c(-124.001279134083, 41.5149884873135)
"27","WILLOW CK NR 3RD BRIDGE","CaliforniaStreamGages.shp","8272789","C197",50350.0088999998,-267447.558999998,"180101100904",c(-123.067827347741, 38.4303693894392)
"28","DRY CK BLW WARM SPRINGS DAM","CaliforniaStreamGages.shp","8272083","C209",82327.4206000008,-260494.493199999,"180101100507",c(-122.999725902689, 38.7198978256749)
"29","EEL R BL SCOTT DAM NR POTTER VALLEY CA","CaliforniaStreamGages.shp","8309952","C380",158748.3421,-255671.920399997,"180101030502",c(-122.971803641447, 39.4085229816301)
"30","MILL C BL DIV DAM NR DINSMORE CA","CaliforniaStreamGages.shp","2705651","C382",277862.0063,-305331.0787,"180101050703",c(-123.601077320724, 40.4646176689158)
"31","SULPHUR C BL DIV DAM NR DINSMORE CA","CaliforniaStreamGages.shp","2705657","C383",277738.525000002,-305711.873600001,"180101050703",c(-123.605508735771, 40.4633762097543)
"32","DRY C NR GEYSERVILLE CA","CaliforniaStreamGages.shp","8272125","C485",79804.2773000002,-256994.023499997,"180101100507",c(-122.958536185723, 38.6981990731745)
"33","DRY C BLW LAMBERT BR NR GEYSERVILLE CA","CaliforniaStreamGages.shp","8272227","C486",74728.9396000002,-254453.690400001,"180101100507",c(-122.927506790705, 38.6532707097891)
"34","DRY C NR MOUTH NR HEALDSBURG CA","CaliforniaStreamGages.shp","8272363","C487",67251.8418000005,-248999.190300001,"180101100507",c(-122.862194752459, 38.5875342020249)
"35","RUSSIAN R NR WINDSOR CA","CaliforniaStreamGages.shp","8272685","C488",59343.6525999997,-249498.6537,"180101100902",c(-122.865186165644, 38.5162879153852)
"36","DWINNELL DAM INSTREAM FLOW RELEASES","CaliforniaStreamGages.shp","3918012","C490",394001.811300002,-198369.023199998,"180102070104",c(-122.374524871942, 41.5408888819584)
"37","DWINNELL DAM SEEPAGE WEIR","CaliforniaStreamGages.shp","3917466","C494",394153.735200001,-198595.855399998,"180102070408",c(-122.377284560807, 41.5422068340817)
"38","EEL RIVER AT SCOTIA","CaliforniaStreamGages.shp","2704731","C499",282639.5295,-347401.594399998,"180101051003",c(-124.099111575272, 40.4922243185796)
"39","EEL RIVER BELOW VAN ARSDALE DAM 24HR AVG","CaliforniaStreamGages.shp","8307546","C500",156946.452600002,-268092.871899998,"180101030503",c(-123.115389123551, 39.3887289431406)
"40","RUSSIAN R NR UKIAH CA","CaliforniaStreamGages.shp","8269099","C833",135713.3802,-275647.3783,"180101100203",c(-123.194799667036, 39.1955107606419)
"41","EF RUSSIAN R NR CALPELLA CA","CaliforniaStreamGages.shp","8269091","C834",141191.5079,-269889.1713,"180101100103",c(-123.130205557794, 39.2465037514696)
"42","RUSSIAN R NR TALMAGE CA","CaliforniaStreamGages.shp","8268521","C835",126517.893200001,-274906.892199999,"180101100405",c(-123.18264740138, 39.1130425061117)
"43","RUSSIAN R NR CLOVERDALE CA","CaliforniaStreamGages.shp","8271445","C837",100221.511499999,-264613.909199998,"180101100411",c(-123.053765434429, 38.8796203396229)
"44","BIG SULPHUR C A G RESORT NR CLOVERDALE CA","CaliforniaStreamGages.shp","8271917","C838",90455.2188000008,-243103.2256,"180101100302",c(-122.80234302003, 38.7977728237109)
"45","BIG SULPHUR C NR CLOVERDALE CA","CaliforniaStreamGages.shp","8271875","C839",94091.0570000019,-259864.097299999,"180101100302",c(-122.996751800153, 38.8258571339405)
"46","MAACAMA C NR KELLOGG CA","CaliforniaStreamGages.shp","8272605","C842",72933.3988000024,-240267.9364,"180101100604",c(-122.763791901046, 38.6409546141075)
"47","RUSSIAN R A DIGGER BEND NR HEALDSBURG CA","CaliforniaStreamGages.shp","8272297","C843",72206.1754999999,-248201.371200001,"180101100605",c(-122.854743786329, 38.6323006735514)
"48","RUSSIAN R NR HEALDSBURG CA","CaliforniaStreamGages.shp","8272379","C844",70058.1042999998,-246670.8007,"180101100605",c(-122.836411193035, 38.6133979727948)
"49","MATANZAS C A SANTA ROSA CA","CaliforniaStreamGages.shp","948010118","C849",50308.7448000014,-235578.6785,"180101100702",c(-122.702464869579, 38.4387213642927)
"50","SANTA ROSA C A SANTA ROSA CA","CaliforniaStreamGages.shp","8273645","C850",50148.188500002,-237528.344499998,"180101100703",c(-122.72476547964, 38.4367756686961)
"51","SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA","CaliforniaStreamGages.shp","8273639","C851",51308.9491000026,-244686.005999997,"180101100703",c(-122.807220233688, 38.4453350701341)
"52","MARK WEST C NR MIRABEL HEIGHTS CA","CaliforniaStreamGages.shp","8273161","C852",56834.7670000009,-248534.8983,"180101100706",c(-122.85325849453, 38.4939895810999)
"53","RUSSIAN R NR GUERNEVILLE CA","CaliforniaStreamGages.shp","8272725","C853",58640.2028000019,-254940.303699998,"180101100903",c(-122.927388202243, 38.5084673650389)
"54","RUSSIAN R A JOHNSONS BEACH A GUERNEVILLE CA","CaliforniaStreamGages.shp","8273703","C854",57817.2716000024,-261148.949099999,"180101100903",c(-122.99833414821, 38.4993226785159)
