"","Name","Filename","COMID1","ID","gagelat","gagelong","HUC_12","geometry"
"55","AUSTIN C NR CAZADERO CA","CaliforniaStreamGages.shp","8271049","C855",58805.9328000005,-267323.805500001,"180101100802",c(-123.06954806254, 38.5064348421656)
"56","RUSSIAN R A HIGHWAY 1 BRIDGE NR JENNER CA","CaliforniaStreamGages.shp","8272953","C856",50951.1952000018,-270360.1984,"180101100904",c(-123.101439349642, 38.4349224107703)
"57","GARCIA R AT EUREKA HILL RD NR PT ARENA CA","CaliforniaStreamGages.shp","2666253","C859",104569.047300002,-312466.337199999,"180101080503",c(-123.607420596293, 38.903589705822)
"58","NOYO R NR FORT BRAGG CA","CaliforniaStreamGages.shp","2665525","C861",163253.390500002,-321455.853599997,"180101080204",c(-123.737796102988, 39.4280952061776)
"59","ELDER C NR BRANSCOMB CA","CaliforniaStreamGages.shp","8287590","C867",196439.808900002,-312108.248400001,"180101060103",c(-123.644037413074, 39.7298082990779)
"60","SF EEL R NR MIRANDA CA","CaliforniaStreamGages.shp","8285120","C869",247108.853000002,-321439.798599999,"180101060403",c(-123.776427515387, 40.1822803432482)
"61","BULL C NR WEOTT CA","CaliforniaStreamGages.shp","8284190","C870",266696.4036,-340137.6172,"180101060406",c(-124.005561572093, 40.3515852881238)
"62","EEL R A SCOTIA CA","CaliforniaStreamGages.shp","2704735","C871",282582.338300003,-347470.732399998,"180101051003",c(-124.099897178235, 40.4916828595709)
"63","VAN DUZEN R NR BRIDGEVILLE CA","CaliforniaStreamGages.shp","2705477","C872",280594.763699999,-329815.1261,"180101050905",c(-123.890852335307, 40.4804982898507)
"64","MAD R NR ARCATA CA","CaliforniaStreamGages.shp","8316811","C874",328815.929200001,-342167.0074,"180101020408",c(-124.060744868811, 40.9097810920978)
"65","LITTLE R NR TRINIDAD CA","CaliforniaStreamGages.shp","8315847","C875",339978.648100002,-343439.872299999,"180101020502",c(-124.08153189954, 41.0097644514765)
"66","REDWOOD C NR BLUE LAKE CA","CaliforniaStreamGages.shp","8319319","C876",327564.732999999,-321526.2644,"180101020102",c(-123.815461811878, 40.9062406185025)
"67","REDWOOD C A ORICK CA","CaliforniaStreamGages.shp","8315607","C877",371937.283399999,-339478.9539,"180101020106",c(-124.050734143889, 41.2990143914924)
"68","SHASTA R NR  MONTAGUE CA","CaliforniaStreamGages.shp","3917252","C879",412994.827600002,-211533.180399999,"180102070503",c(-122.538115186774, 41.7090002686048)
"69","SHASTA R NR YREKA CA","CaliforniaStreamGages.shp","3917058","C880",425761.3255,-215994.2918,"180102070503",c(-122.595809096267, 41.8229942122583)
"70","KLAMATH R NR SEIAD VALLEY CA","CaliforniaStreamGages.shp","4440518","C882",430813.380100001,-268776.285199998,"180102061103",c(-123.23176661033, 41.8539080109962)
"71","INDIAN C NR HAPPY CAMP CA","CaliforniaStreamGages.shp","4440524","C883",429177.7269,-281420.000899998,"180102090104",c(-123.382967067106, 41.8351884307528)
"72","KLAMATH R A ORLEANS","CaliforniaStreamGages.shp","4442602","C885",370701.4827,-296182.810900001,"180102090802",c(-123.534079481741, 41.3034900937395)
"73","TRINITY R NR BURNT RANCH CA","CaliforniaStreamGages.shp","8245172","C891",313387.8115,-290346.850400001,"180102111105",c(-123.43970614696, 40.7893681495273)
"74","SF TRINITY R BL HYAMPOM CA","CaliforniaStreamGages.shp","8232392","C892",298078.198200002,-295490.830399999,"180102120503",c(-123.493910595364, 40.6498698270822)
"75","KLAMATH R NR KLAMATH CA","CaliforniaStreamGages.shp","4440630","C894",395083.427100001,-332475.649399998,"180102091103",c(-123.978851994727, 41.5101323844287)
"76","SMITH R NR CRESCENT CITY CA","CaliforniaStreamGages.shp","22226812","C895",426576.453100001,-339304.176199999,"180101010404",c(-124.076667918085, 41.7912160019399)
"77","SMITH R NR FORT DICK CA","CaliforniaStreamGages.shp","22227058","C896",436592.327499999,-343907.259399999,"180101010404",c(-124.137151243042, 41.87966260384)
"78","EF RUSSIAN R BLW COYOTE DAM","CaliforniaStreamGages.shp","8269105","C928",135914.202900002,-274917.825799998,"180101100203",c(-123.18642860272, 39.1975376042515)
"79","TRINITY LAKE","CaliforniaStreamGages.shp","8246564","C932",312832.430199999,-233194.436799999,"180102110504",c(-122.762866520248, 40.8012054032045)
"80","KLAMATH R AT ORLEANS","CaliforniaStreamGages.shp","4441614","C953",370787.3004,-296078.387499999,"180102090802",c(-123.532872785099, 41.3042980692886)
"81","RUSSIAN R NR HEALDSBERG","CaliforniaStreamGages.shp","8272379","C1020",70066.6914000008,-246544.519799998,"180101100605",c(-122.834962935113, 38.6135091637702)
"82","SUGAR CK BLW DARBEE DITCH NR CALLAHAN","CaliforniaStreamGages.shp","3801167","C1030",370215.9406,-240498.038899997,"180102080204",c(-122.869921304738, 41.3160632476216)
"83","SHASTA R AT GRENADA PUMP PLANT","CaliforniaStreamGages.shp","3917406","C1048",401884.923900001,-206223.590799998,"180102070408",c(-122.470963002851, 41.6101270611572)
"84","YREKA CREEK AT ANDERSON GRADE ROAD","CaliforniaStreamGages.shp","3917120","C1077",420098.842500001,-216836.608999999,"180102070503",c(-122.604058275277, 41.7717401169251)
"85","BROWN'S CK NR DOUGLAS CITY","CaliforniaStreamGages.shp","8245900","C1099",296617.4199,-252463.603499997,"180102110602",c(-122.984973917373, 40.6499594761158)
"86","GRASS VLY CR AT FAWN LODGE NR LEWISTON","CaliforniaStreamGages.shp","8246438","C1109",299157.848600002,-239338.219699997,"180102110702",c(-122.830778744515, 40.676454916853)
"87","SHASTA R ABV CTY RD A-12 NR GRENADA","CaliforniaStreamGages.shp","3917406","C1121",404604.398700001,-207869.8003,"180102070408",c(-122.491534895332, 41.6342493078371)
"88","SCOTT R. NR SCOTT BAR","CaliforniaStreamGages.shp","3798045","C1126",421545.071200002,-252702.897700001,"180102080606",c(-123.035070196227, 41.7751587792855)
"89","SHASTA R NR GRENADA","CaliforniaStreamGages.shp","3917406","C1127",401575.492000002,-204712.652100001,"180102070408",c(-122.452771204263, 41.6076918739711)
"90","WEAVER CREEK NEAR WEAVERVILLE","CaliforniaStreamGages.shp","8245846","C1136",300455.1537,-248068.807599999,"180102110705",c(-122.93444998651, 40.6857436705377)
"91","SALMON C A BODEGA CA","CaliforniaStreamGages.shp","3879992","C2374",41033.3511000015,-260154.405699998,"180101090201",c(-122.9808663214, 38.3486932663401)
"92","RUSSIAN R NR REDWOOD VALLEY CA","CaliforniaStreamGages.shp","8267787","C2375",149550.680300001,-277558.373199999,"180101100202",c(-123.222380288075, 39.3193682450651)
"93","EF RUSSIAN R TRIB NR POTTER VALLEY CA","CaliforniaStreamGages.shp","8268071","C2376",142669.503500002,-268598.0678,"180101100103",c(-123.115805148926, 39.2601784059735)
"94","FELIZ C NR HOPLAND CA","CaliforniaStreamGages.shp","8271441","C2377",110861.478,-272001.522399997,"180101100408",c(-123.143029508224, 38.9731256366765)
"95","BIG SULPHUR C NR MIDDLETOWN CA","CaliforniaStreamGages.shp","8272593","C2378",86565.4301999994,-238408.0417,"180101100302",c(-122.746951664022, 38.7640288402721)
"96","DRY C NR YORKVILLE CA","CaliforniaStreamGages.shp","8271511","C2381",90485.0858000014,-273803.7906,"180101100504",c(-123.156004785722, 38.789363673521)
"97","DRY C NR CLOVERDALE CA","CaliforniaStreamGages.shp","8276449","C2382",85953.0971000008,-268439.806199998,"180101100504",c(-123.092517696342, 38.7502032580717)
"98","DUTCHER C NR ASTI CA","CaliforniaStreamGages.shp","8272097","C2384",82579.0228000022,-258562.852600001,"180101100507",c(-122.977587726361, 38.7227079534326)
"99","MARK WEST C NR WINDSOR CA","CaliforniaStreamGages.shp","8272561","C2386",58344.8057000022,-241298.054099999,"180101100706",c(-122.770731735983, 38.5094986117536)
"100","SANTA ROSA C NR SANTA ROSA CA","CaliforniaStreamGages.shp","8273229","C2387",52131.1283,-229439.036799999,"180101100702",c(-122.632650378695, 38.4566627401932)
"101","BRUSH C A SANTA ROSA CA","CaliforniaStreamGages.shp","8273235","C2388",52075.6954999994,-233629.3507,"180101100702",c(-122.680687889856, 38.4551081118724)
"102","WHEATFIELD FORK GUALALA R AB SF NR ANNAPOLIS CA","CaliforniaStreamGages.shp","8280889","C2390",82305.7584000006,-295960.812299998,"180101090104",c(-123.407798915455, 38.7089230355371)
"103","GARCIA R NR POINT ARENA CA","CaliforniaStreamGages.shp","2666153","C2392",107230.760700002,-314369.502499998,"180101080503",c(-123.630547380668, 38.9268662639263)
"104","SF BIG R NR COMPTCHE CA","CaliforniaStreamGages.shp","2664341","C2396",140377.5143,-298882.875699999,"180101080301",c(-123.465847872069, 39.2301102670022)
"105","BIG R BLW TWO LOG CR NR COMPTCHE CA","CaliforniaStreamGages.shp","2664095","C2397",150621.195499999,-311344.811699999,"180101080304",c(-123.614746265237, 39.3180349186555)
"106","PUDDING C NR FORT BRAGG CA","CaliforniaStreamGages.shp","2663733","C2399",166388.236099999,-320189.748199999,"180101080701",c(-123.724520592142, 39.45673201255)
"107","CEDAR GULCH NR CALLAHAN CA","CaliforniaStreamGages.shp","3801113","C2400",373257.094900003,-237186.6875,"180102080204",c(-122.831513320003, 41.3443578024428)
"108","MF TEN MILE R NR FORT BRAGG CA","CaliforniaStreamGages.shp","2662235","C2401",179128.0046,-317688.304300001,"180101080103",c(-123.701235185591, 39.5721744719183)
"109","DUNN C NR ROCKPORT CA","CaliforniaStreamGages.shp","2662013","C2402",204743.217800003,-326956.9988,"180101080602",c(-123.821126792134, 39.7992255603172)
"110","HONEYDEW C A HONEYDEW CA","CaliforniaStreamGages.shp","2544631","C2403",252746.7141,-349739.9497,"180101070204",c(-124.111382116075, 40.2223996008423)
"111","COLD C TRIB NR ELK C CA","CaliforniaStreamGages.shp","8309948","C2405",161530.819,-237517.0986,"180101030203",c(-122.761846756955, 39.4384900679902)
"112","EEL R A HEARST CA","CaliforniaStreamGages.shp","8306718","C2408",168757.691100001,-276127.879799999,"180101030504",c(-123.213340197648, 39.4925457388595)
"113","WILLITS C AB LK EMILY NR WILLITS CA","CaliforniaStreamGages.shp","8306880","C2410",164497.735700002,-292261.853999998,"180101030403",c(-123.399160494319, 39.4491710620736)
"114","MF EEL R AB BLACK BUTTE R NR COVELO CA","CaliforniaStreamGages.shp","8294891","C2413",205696.253,-262772.237600001,"180101040208",c(-123.071952968948, 39.8287951631728)
"115","SF EEL R NR BRANSCOMB CA","CaliforniaStreamGages.shp","8287608","C2429",195225.183,-312962.700799998,"180101060103",c(-123.65345754625, 39.7185884365929)
"116","SF EEL R A GARBERVILLE CA","CaliforniaStreamGages.shp","8286744","C2432",237015.1953,-323847.781400001,"180101060403",c(-123.799937072334, 40.0906155620955)
"117","LARABEE C NR HOLMES CA","CaliforniaStreamGages.shp","2705839","C2433",272586.188300001,-331119.870100001,"180101050602",c(-123.902340603583, 40.4079592715248)
"118","MILL C BL SULPHUR C A DINSMORE CA","CaliforniaStreamGages.shp","2705475","C2434",279887.633000001,-305903.418499999,"180101050703",c(-123.608729895139, 40.4826497653364)
"119","COMBINED FLOW OF 11477400 + 11477475 CA","CaliforniaStreamGages.shp","2705567","C2435",279909.3772,-305990.876399999,"180101050703",c(-123.609770397603, 40.4828154610557)
"120","VAN DUZEN R NR DINSMORE CA","CaliforniaStreamGages.shp","2705471","C2436",280259.817500001,-310207.5724,"180101050703",c(-123.659625145119, 40.4845135521762)
"121","VAN DUZEN R A BRIDGEVILLE CA","CaliforniaStreamGages.shp","2705575","C2438",278887.683,-322251.224099999,"180101050905",c(-123.800910240376, 40.4679005888514)
"122","VAN DUZEN R TRIB NR BRIDGEVILLE CA","CaliforniaStreamGages.shp","2705583","C2439",279863.682900002,-329158.148899999,"180101050905",c(-123.882757589299, 40.4741627368563)
"123","YAGER C NR CARLOTTA CA","CaliforniaStreamGages.shp","2702157","C2440",291206.743300002,-342940.314099997,"180101050803",c(-124.050852282833, 40.5710328399918)
"124","YAGER C A CARLOTTA CA","CaliforniaStreamGages.shp","2702217","C2441",287451.0913,-344160.407699998,"180101050803",c(-124.063346425277, 40.5367709439667)
"125","ELK R NR FALK CA","CaliforniaStreamGages.shp","8317047","C2442",306255.592900001,-351440.781099999,"180101020603",c(-124.158926536916, 40.7031297122484)
"126","JACOBY C NR  FRESHWATER CA","CaliforniaStreamGages.shp","8316913","C2443",315536.006600002,-338000.447599998,"180101020601",c(-124.004703377028, 40.7918554751383)
"127","MAD R NR KNEELAND CA","CaliforniaStreamGages.shp","8318329","C2445",311999.477900002,-328353.315899998,"180101020406",c(-123.888814407459, 40.7636435520138)
"128","MAD R NR BLUE LAKE CA","CaliforniaStreamGages.shp","8319327","C2446",321469.291700002,-336001.0503,"180101020406",c(-123.983994343878, 40.8460139114567)
"129","REDWOOD C NR KORBEL CA","CaliforniaStreamGages.shp","8317911","C2448",333413.3961,-323050.813899999,"180101020102",c(-123.836340387701, 40.9583345368256)
"130","LITTLE LOST MAN C A SITE NO 2 NR ORICK CA","CaliforniaStreamGages.shp","8315609","C2454",374376.976500003,-336857.147599999,"180101020105",c(-124.020721652667, 41.321988288861)
"131","ANTELOPE C NR TENNANT CA","CaliforniaStreamGages.shp","8265434","C2456",393786.268100003,-160271.834599998,"180102050202",c(-121.918579446922, 41.5467216865365)
"132","ANTELOPE C NR MACDOEL CA","CaliforniaStreamGages.shp","8265410","C2457",398745.4957,-159473.339299997,"180102050202",c(-121.91021937594, 41.5915678286223)
"133","BUTTE C NR MACDOEL CA","CaliforniaStreamGages.shp","8265322","C2458",412912.8397,-166693.136,"180102050105",c(-122.000254988274, 41.7179376687409)
"134","LITTLE SHASTA R NR MONTAGUE CA","CaliforniaStreamGages.shp","3917176","C2462",417336.839600001,-191719.576099997,"180102070303",c(-122.301741199356, 41.7527008168325)
"135","SHACKLEFORD C NR MUGGINSVILLE CA","CaliforniaStreamGages.shp","3798313","C2469",400536.310900003,-250810.343599997,"180102080502",c(-123.004361970221, 41.586367156465)
"136","ELK C NR HAPPY CAMP CA","CaliforniaStreamGages.shp","4439186","C2471",418854.873100001,-279499.8092,"180102090303",c(-123.355513606076, 41.7427706293046)
"137","TI C NR SOMES BAR CA","CaliforniaStreamGages.shp","4439906","C2472",395269.706600001,-294773.023899999,"180102090702",c(-123.528177482787, 41.5252631586067)
"138","SF SALMON R NR FORKS OF SALMON CA","CaliforniaStreamGages.shp","8258791","C2473",360940.8849,-272738.964299999,"180102100108",c(-123.250582786576, 41.2231396895694)
"139","BLUFF C NR WEITCHPEC CA","CaliforniaStreamGages.shp","4441788","C2476",364072.497000001,-306943.6284,"180102090805",c(-123.659301758419, 41.2401123048866)
"140","COFFEE C NR TRINITY CENTER CA","CaliforniaStreamGages.shp","8242714","C2477",345184.825200001,-231576.264399998,"180102110103",c(-122.754839963535, 41.0929753284591)
"141","WEAVER C NR DOUGLAS CITY CA","CaliforniaStreamGages.shp","8245890","C2481",298787.848200001,-248883.510500001,"180102110705",c(-122.943468941101, 40.6705062934082)
"142","SF TRINITY R A FOREST GLEN CA","CaliforniaStreamGages.shp","8234926","C2486",267058.2818,-282587.9574,"180102120404",c(-123.328602602953, 40.3748798460432)
"143","HAYFORK C NR HAYFORK CA","CaliforniaStreamGages.shp","8232828","C2488",282436.2828,-261515.234699998,"180102120205",c(-123.086463914045, 40.5196985883014)
"144","BIG C NR HAYFORK CA","CaliforniaStreamGages.shp","8232726","C2489",286308.121100001,-266302.494299999,"180102120204",c(-123.144438256341, 40.5531319423646)
"145","HAYFORK C NR HYAMPOM CA","CaliforniaStreamGages.shp","8232496","C2490",295169.302300001,-290645.840399997,"180102120305",c(-123.435427785155, 40.6252826038082)
"146","WILLOW C NR WILLOW C CA","CaliforniaStreamGages.shp","8243370","C2493",331519.9385,-308415.0373,"180102111201",c(-123.661844366642, 40.9465020392922)
"147","MAREEP C NR WEITCHPEC CA","CaliforniaStreamGages.shp","4441692","C2495",368119.805000002,-317785.674599998,"180102091002",c(-123.7903505282, 41.2727213423769)
"148","MF SMITH R A GASQUET CA","CaliforniaStreamGages.shp","22227632","C2497",432442.584000003,-330050.546599997,"180101010204",c(-123.968567556514, 41.8476112305943)
"149","NF SMITH R A GASQUET CA","CaliforniaStreamGages.shp","22227604","C2498",433185.3663,-330204.419199998,"180101010104",c(-123.970789421021, 41.8542462562286)
"150","MILL C NR CRESCENT CITY","CaliforniaStreamGages.shp","22227042","C2500",421221.503599999,-341723.862199998,"180101010402",c(-124.102921184438, 41.7420302688867)
"151","ROWDY C A SMITH R CA","CaliforniaStreamGages.shp","22226680","C2501",441242.227499999,-344618.7411,"180101010403",c(-124.148145226048, 41.921281469605)
"152","MF APPLEGATE R NR COPPER, OR.","CaliforniaStreamGages.shp","360243","C2503",447472.789200002,-262139.049899999,"171003090104",c(-123.15869140577, 42.0061035162013)
"153","GRASS VALLEY C NR LEWISTON CA","CaliforniaStreamGages.shp","8245864","C2511",300355.301000003,-241899.139599998,"180102110702",c(-122.861477127065, 40.6865430307708)
"154","Anderson Cr. near Anderson Springs","CaliforniaStreamGages.shp",NA,"C2562",87795.5515000019,-239094.169699999,"180101100302",c(-122.755264614464, 38.7749120012476)
"155","Shasta River Cross Canal Weir at Dwinnell Dam (PrioRt)","CaliforniaStreamGages.shp",NA,"C2605",394123.670300001,-198379.4603,"180102070408",c(-122.374686282512, 41.5419847629632)
"156","Mill Creek near Mugginsville","CaliforniaStreamGages.shp",NA,"C2607",399884.2403,-247172.405099997,"180102080502",c(-122.960569188062, 41.5815228115741)
"157","Dwinnell Reservoir near Edgewood","CaliforniaStreamGages.shp",NA,"C2609",394001.596000003,-198369.815099997,"180102070104",c(-122.374534282678, 41.5408867628137)
