"","masterid","latitude","longitude","county"
"1","903M20165",33.2747,-117.18089,"San Diego"
"2","911M24926",32.59782,-116.65687,"San Diego"
"3","408BA0660",34.26784,-118.93781,"Ventura"
"4","905PS0026",33.10697,-116.86545,"San Diego"
"5","SMC00105",33.74651,-117.58423,"Orange"
"6","403S00271",34.5485,-119.16547,"Ventura"
"7","408BA0036",34.21502,-118.87899,"Ventura"
"8","SMC01384",34.0646,-118.70091,"Los Angeles"
"9","801M16916",33.96417,-117.49156,"Riverside"
"10","902M18865",33.46728,-117.23022,"Riverside"
"11","408M03038",34.27491,-118.88512,"Ventura"
"12","802S09698",33.7459,-116.70739,"Riverside"
"13","907M23342",32.99095,-116.59072,"San Diego"
"14","801M16949",33.8732,-117.44195,"Riverside"
"15","404M04517",34.17649,-118.70612,"Ventura"
"16","412CE0232",34.15907,-118.45624,"Los Angeles"
"17","910M24924",32.5915,-117.07624,"San Diego"
"18","408M03052",34.18063,-119.1039,"Ventura"
"19","403M05795",34.60898,-118.77961,"Los Angeles"
"20","901M14137",33.49418,-117.71659,"Orange"
"21","909WE0662",32.89957,-116.58789,"San Diego"
"22","404M07361",34.10164,-118.62119,"Los Angeles"
"23","906M21758",32.94264,-117.10754,"San Diego"
"24","402M00042",34.46039,-119.28891,"Ventura"
"25","403M05785",34.37091,-118.47199,"Los Angeles"
"26","526PS0072",41.13422,-120.80025,"Lassen"
"27","526PS0220",41.00853,-121.65023,"Shasta"
"28","520PS0007",39.61993,-121.77531,"Butte"
"29","105PS0028",41.75104,-122.00236,"Siskiyou"
"30","307PS0028",36.40783,-121.67946,"Monterey"
"31","508PS0042",40.54532,-122.17619,"Shasta"
"32","105PS0188",41.71972,-122.34917,"Siskiyou"
"33","845PS0011",33.88053,-117.89742,"Orange"
"34","626PS0171",34.44752,-118.01537,"Los Angeles"
"35","519PS0002",38.65573,-121.38781,"Sacramento"
"36","402PS0048",34.53077,-119.40085,"Ventura"
"37","505PS0156",41.25016,-121.95047,"Siskiyou"
"38","552PS0028",36.84278,-119.0964,"Fresno"
"39","106PS0022",40.67269,-123.52279,"Trinity"
"40","111PS0060",40.1289,-123.11226,"Trinity"
"41","111PS0008",39.52196,-123.3967,"Mendocino"
"42","514PS0084",38.78447,-121.23088,"Placer"
"43","630PS0005",38.0658,-119.22584,"Mono"
"44","637PS0018",40.36057,-120.80557,"Lassen"
"45","507PS0122",40.39457,-121.93616,"Tehama"
"46","113PS0100",39.31779,-123.62643,"Mendocino"
"47","504PS0243",40.14092,-122.14082,"Tehama"
"48","631PS0023",38.47279,-119.35211,"Mono"
"49","504PS0083",40.01911,-122.37155,"Tehama"
"50","634PS0019",38.79506,-119.98757,"El Dorado"
"51","106PS0078",40.55161,-123.13495,"Trinity"
"52","527PS0388",41.82541,-120.29449,"Modoc"
"53","636PS0010",39.46285,-120.19018,"Sierra"
"54","205PS0045",37.29359,-121.93298,"Santa Clara"
"55","309PS0043",35.75626,-120.83777,"San Luis Obispo"
"56","513PS0088",38.98619,-122.51628,"Lake"
"57","305PS0057",36.95204,-121.51176,"San Benito"
