,remote_id,COMID,Latitude,Longitude
0,11282000,17078467,37.82825915,-120.0115727
1,11472160,8306880,39.449329,-123.3980667
2,10264000,22681934,34.46388375,-118.0189578
3,10310000,8924041,38.76962765,-119.833789
4,11281000,17078519,37.82159266,-120.0129616
5,11532500,22226820,41.7915026,-124.0761887
6,11169800,17694891,37.07772286,-121.4943832
7,11473900,8295207,39.70626687,-123.3252913
8,11481500,8319319,40.90596479,-123.815335
9,11162500,17688105,37.26077707,-122.3288602
10,10257600,22590267,34.01112284,-116.6280689
11,11230500,17118323,37.3393863,-118.9734513
12,11120520,17596097,34.4486111,-119.8402778
13,10291500,8915907,38.23880787,-119.3259923
14,10295500,10744456,38.3607482,-119.4448868
15,11525530,8246406,40.7245899,-122.8347458
16,10257500,22591931,33.86946114,-116.6716824
17,11138500,17625379,34.83970289,-120.1682063
18,11274790,17081597,37.9165884,-119.6598938
19,11451100,8005975,39.1654458,-122.6199862
20,09423350,10017314,35.24498915,-115.2988759
21,11474500,2709327,39.9373742,-123.3469626
22,11143000,8189809,36.24579648,-121.7732872
23,10336645,8941733,39.05185197,-120.1185209
24,11468500,2665525,39.42822378,-123.7377917
25,11172945,2809681,37.4974356,-121.7735644
26,11180960,2804901,37.71770737,-122.0544067
27,10336580,8943705,38.79629598,-120.0190718
28,11048553,20355480,33.65724307,-117.8275553
29,11526500,8244332,40.7818089,-123.1283653
30,11199500,14934874,35.80995236,-118.9184294
31,11472900,8294911,39.82071008,-123.0816755
32,11427700,14992381,39.1357376,-120.4785353
33,10336770,8944527,38.8632405,-119.9582367
34,11154700,17673639,36.36079387,-120.7607315
35,11151870,8203373,36.23746164,-121.4816027
36,11476600,8284190,40.351528,-124.0050423
37,11153470,17662343,37.1483333,-121.7683333
38,11160000,17684378,36.9913389,-121.9557933
39,11048200,20355400,33.6870833,-117.6954167
40,11475560,8287590,39.7295997,-123.6439073
41,11413320,8056721,39.54989055,-121.0944014
42,11224500,14883269,36.21467719,-120.4707116
43,11204100,14930789,36.02411648,-118.8134258
