,remote_id,COMID,Latitude,Longitude
0,10336645,8941733,39.05185197,-120.1185209
1,11075720,22527369,33.91334748,-117.8425584
2,11044000,22549075,33.4739175,-117.1422536
3,11149900,8210533,35.89663404,-121.0882491
4,11372000,2495296,40.51320587,-122.5241795
5,11468500,2665525,39.42822378,-123.7377917
6,11299600,348419,37.96103615,-120.6152035
7,11413323,8056723,39.5454461,-121.0952348
8,11427700,14992381,39.1357376,-120.4785353
9,11277300,17081431,37.96769944,-119.9174029
10,11119745,17595453,34.44055266,-119.7118027
11,11461000,8269099,39.1954471,-123.1950048
12,11044300,22548457,33.41364059,-117.2411462
13,11172945,2809681,37.4974356,-121.7735644
14,11120000,17595429,34.4247189,-119.811805
15,11203580,14930711,36.04828125,-118.6542556
16,11290000,2823972,37.627153,-120.9843777
17,11180960,2804901,37.71770737,-122.0544067
18,11022480,20331402,32.84032675,-117.0258627
19,11181000,2803983,37.68548644,-122.064407
20,11481200,8315847,41.0098479,-124.0814555
21,11132500,17609017,34.5885957,-120.4084938
22,11460400,5329621,38.0268673,-122.736377
23,11451715,8009213,38.95767446,-122.3427535
24,11276500,17081559,37.93742147,-119.7982326
25,11046300,20351605,33.47085987,-117.4730986
26,11466800,8273161,38.49407838,-122.8533258
27,11208000,14918011,36.5218899,-118.7992652
28,11390000,1680009,39.72599524,-121.7088643
29,11088500,22527375,33.88779206,-117.9264496
30,11016200,948070230,32.77416667,-116.8502778
31,10259100,,33.749466,-116.4227903
32,11464000,8272379,38.61324316,-122.8363818
33,11475800,8287256,39.8745957,-123.7205775
34,10344500,8933684,39.38685177,-120.0954757
35,11316800,17056582,38.40324566,-120.4468676
36,11465350,8272363,38.58741046,-122.8622159
37,10308789,8922717,38.7168505,-119.6601726
38,11466320,8273639,38.44519026,-122.8072129
39,11462500,8269119,39.02656314,-123.1305588
40,11058600,22555344,34.1858333,-117.2722222
41,11069500,22535256,33.73807629,-116.8339098
42,11458433,1669045,38.4188004,-122.5627606
43,11159000,17663281,36.9002307,-121.5977215
44,11468000,2665613,39.17045608,-123.668069
45,11156500,17665649,36.60940609,-121.2029797
46,11152050,8205489,36.39968708,-121.3240962
47,11284400,17078425,37.8418714,-120.1849103
48,11162620,17687547,37.52466087,-122.3994177
49,10260950,,34.33889196,-117.2578213
50,11135800,17620166,34.74331534,-120.2709888
51,10296500,946050152,38.51324495,-119.4498872
52,11468900,2546355,40.139309,-123.991423
53,11476500,8285120,40.18181004,-123.7761426
54,11451000,8009269,38.9240648,-122.5658147
55,11085000,22524845,34.11223019,-117.9695092
56,11345500,7932193,41.2307286,-120.4371726
57,11027000,20330872,33.1158743,-116.9530841
58,11302000,348545,37.85159385,-120.6379816
59,11447360,15022679,38.64184848,-121.3827302
60,11480390,8320019,40.28431329,-123.3353034
61,11046000,22548559,33.3111436,-117.3472604
62,11528700,8232392,40.6498627,-123.4942046
63,11114495,17585808,34.5027693,-119.3573393
64,11022200,20332986,32.83616156,-116.9003035
65,11044350,22548429,33.42447348,-117.249202
66,11525530,8246406,40.7245899,-122.8347458
67,11532500,22226820,41.7915026,-124.0761887
