,remote_id,COMID,Latitude,Longitude
68,10293000,8915857,38.3276958,-119.2148759
69,11463200,8271875,38.8260167,-122.9969442
70,11264500,21609533,37.73131496,-119.5590514
71,11169800,17694891,37.07772286,-121.4943832
72,11525670,8245912,40.65181225,-122.9144689
73,11123500,17611449,34.54360358,-119.8648627
74,10346000,8933532,39.42796385,-120.0340873
75,11077500,22563210,33.7702946,-117.8845014
76,10296000,10744424,38.3796366,-119.4501649
77,10338500,8933876,39.3235172,-120.2343654
78,11460000,1671509,37.96297947,-122.556922
79,10257500,22591931,33.86946114,-116.6716824
80,11059300,24843752,34.0650131,-117.3003208
81,11182500,2790443,37.772983,-121.9946825
82,11176400,2806807,37.56132196,-121.6838389
83,11519500,3798909,41.64069017,-123.015037
84,11459500,1669845,38.10769775,-122.5799815
85,11140000,17625349,34.89386807,-120.3065463
86,11073360,22556372,34.00390144,-117.7270006
87,11381500,8019544,40.0546022,-122.0241541
88,11413000,8058675,39.5248937,-120.9380068
89,11523200,8242324,41.1112571,-122.7055788
90,11458000,1669113,38.3682457,-122.3033085
91,10308200,8922715,38.7146274,-119.7648985
92,10338700,8933890,39.32101739,-120.2079759
93,103087891,8922743,38.7086111,-119.648611
94,10263500,22684930,34.42083115,-117.8395072
95,11251000,19791955,36.98439397,-119.7243124
96,11427000,14996611,38.93600919,-121.023833
97,11473900,8295207,39.70626687,-123.3252913
98,11101250,22515826,34.05834368,-118.0717348
99,11294500,344905,38.2438067,-120.2910282
100,11113500,17573647,34.4133295,-119.0823272
101,10343000,8933376,39.4565717,-120.2871477
102,11070365,22532938,33.74613114,-117.231703
103,11418500,8061235,39.22433764,-121.2685697
104,10336780,8944453,38.9199077,-119.9724036
105,11522500,8261865,41.3765154,-123.4770026
106,11160000,17684378,36.9913389,-121.9557933
107,11087020,22521721,34.03417767,-118.0381225
108,11521500,4440524,41.83512325,-123.3831113
109,11465200,8272125,38.698521,-122.9580539
110,11073300,22557914,34.01862319,-117.7306118
111,11181040,2804929,37.6840977,-122.1399649
112,11048600,20355520,33.64502095,-117.8611673
113,11527000,8245172,40.7887498,-123.4400401
114,11119500,17596159,34.4013836,-119.4865103
115,11047300,20350681,33.49835999,-117.6658843
116,11481500,8319319,40.90596479,-123.815335
117,11402000,8027910,40.002947,-120.9543994
118,11421000,7981844,39.1757251,-121.5249647
119,11153000,17663037,36.98,-121.3802778
120,11180825,2803945,37.69520825,-122.044962
121,10251300,948090452,35.84944444,-116.2308333
122,11174000,2806745,37.577434,-121.857734
123,11376550,2496048,40.39820996,-122.1463869
124,11467200,8271049,38.5065797,-123.0697239
125,11460750,5329357,38.1757531,-122.8183254
126,11136800,17633130,35.0219213,-120.2284868
127,10265150,20273931,37.66882166,-118.8176312
128,11270900,2824498,37.5216029,-120.3324114
129,11303000,2819818,37.72965078,-121.1104934
130,11109600,17572335,34.52304728,-118.7570362
131,11181008,2803985,37.6799311,-122.0805186
132,11160500,17682474,37.0443931,-122.072464
133,10336610,8944439,38.9224078,-119.9915706
134,10256500,22593463,33.8705722,-116.681127
135,11162500,17688105,37.26077707,-122.3288602
136,11424000,948020363,39.0001727,-121.4066238
137,11055500,22555860,34.11834458,-117.141704
138,11189500,14961121,35.7374516,-118.173689
139,11149400,8212787,35.76135678,-120.855458
140,11109000,17575785,34.40360813,-118.739258
141,11173510,2806979,37.5035472,-121.8246774
142,10259000,22592131,33.7600211,-116.5500155
143,11137900,,35.07775398,-120.3718267
144,10255810,22595619,33.27916667,-116.4305556
145,11141280,8193647,35.23553035,-120.4723857
146,11451100,8005975,39.1654458,-122.6199862
147,10257600,22590267,34.01112284,-116.6280689
148,11092450,22515812,34.16167247,-118.466749
149,11342000,7966063,40.93959397,-122.4172351
150,11274500,2828012,37.31549247,-121.1252081
151,11025500,20330878,33.1069866,-116.866137
152,11162630,17688275,37.46660747,-122.434142
153,11023340,,32.9431013,-117.1216999
154,11179000,2806725,37.58715679,-121.960793
155,11348500,7932045,41.40600116,-120.9277458
156,11073495,22563070,33.9827912,-117.5994966
157,11180700,2805109,37.58576818,-122.0482955
158,11278300,17082139,37.89436824,-119.962682
159,11374000,2495212,40.50487467,-122.2330577
160,10257720,22591957,33.8441843,-116.6052929
161,11475560,8287590,39.7295997,-123.6439073
162,11456000,1668313,38.51129745,-122.455813
163,11413320,8056721,39.54989055,-121.0944014
164,11070465,22532978,33.6941882,-117.2055903
165,10260500,22658309,34.34305858,-117.2264316
166,11070500,22534666,33.66418858,-117.293927
167,11526400,8244344,40.76653148,-123.1144757
168,10336676,8941685,39.1321292,-120.1576913
169,11454000,15033009,38.51518487,-122.0819159
170,11128500,17609015,34.58498706,-120.1445926
171,103366092,8943677,38.8485185,-120.0271275
172,11153650,948060250,36.98744858,-121.5271622
173,11046360,20350869,33.42641717,-117.5703242
174,10343500,8933522,39.43157246,-120.2379793
175,11157500,17663791,36.76579177,-121.2996532
176,11278400,17081685,37.8902017,-119.9699046
177,11517000,3917252,41.70903196,-122.5380787
178,11045300,22549115,33.34697584,-117.3178152
179,11172175,17695611,37.4221617,-121.9274577
180,11143000,8189809,36.24579648,-121.7732872
181,11128250,17607945,34.61831975,-120.120703
182,11224500,14883269,36.21467719,-120.4707116
183,11525655,8245886,40.6726453,-122.9205805
184,11072100,22560716,33.8891821,-117.5628274
185,11204100,14930789,36.02411648,-118.8134258
186,11123000,17610919,34.5244391,-119.6873579
187,11063510,22557744,34.2633392,-117.4669944
188,11063680,22554872,34.20834107,-117.331434
189,11469000,2544433,40.31319125,-124.283381
190,11266500,21609641,37.71687138,-119.6662788
191,11060400,22557922,34.07834596,-117.3003209
192,11370500,2495224,40.6009835,-122.4444553
193,11294000,347483,38.3929682,-119.9990737
194,11281000,17078519,37.82159266,-120.0129616
195,11526500,8244332,40.7818089,-123.1283653
196,11377100,12068830,40.28848836,-122.1866645
197,11134000,17608959,34.6683162,-120.4579411
198,11463980,,38.6329653,-122.8555494
199,11474500,2709327,39.9373742,-123.3469626
200,11151870,8203373,36.23746164,-121.4816027
201,11199500,14934874,35.80995236,-118.9184294
202,11154700,17673639,36.36079387,-120.7607315
203,11153470,17662343,37.1483333,-121.7683333
204,11472900,8294911,39.82071008,-123.0816755
205,11042800,22547091,33.53224867,-117.1769771
206,11151700,948060170,36.411076,-121.3193738
207,10295500,10744456,38.3607482,-119.4448868
208,11152300,8200795,36.55357267,-121.5493856
209,11152500,,36.631071,-121.672446
210,10337500,8934074,39.16629577,-120.1443586
211,11120520,17596097,34.4486111,-119.8402778
212,11134800,17607917,34.6316501,-120.4648857
213,11466170,948010118,38.4388007,-122.7024867
214,11120500,17596109,34.45916286,-119.8090283
215,11133000,,34.63609474,-120.424606
216,10338000,8933958,39.2962952,-120.2054752
217,11406999,7968461,39.52155294,-121.5477477
218,11466200,8273645,38.4365787,-122.7247096
219,11472160,8306880,39.449329,-123.3980667
220,11138500,17625379,34.83970289,-120.1682063
221,11446220,15022453,38.70452778,-121.164361
222,11162753,2804621,37.52944444,-122.3583333
223,11335000,20192498,38.50018619,-121.0452212
224,11164500,17693217,37.42327257,-122.1894095
225,10336580,8943705,38.79629598,-120.0190718
226,11255575,19784451,36.65245145,-120.6321186
227,11465660,8273423,38.34324776,-122.7019317
228,10336770,8944527,38.8632405,-119.9582367
229,10264000,22681934,34.46388375,-118.0189578
230,11282000,17078467,37.82825915,-120.0115727
231,11261500,19771455,37.3099386,-120.9310369
232,11355010,7952678,40.9832178,-121.511927
233,11476600,8284190,40.351528,-124.0050423
234,11159200,17665491,36.9393968,-121.7705065
235,11048553,20355480,33.65724307,-117.8275553
236,10291500,8915907,38.23880787,-119.3259923
237,11516530,361671,41.92791865,-122.4441882
