"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","Flow.Metric.Name","Flow.Component"
"1",137,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0657499178139182,"Positive",0.0825399893071413,"Dry-season duration","Dry-season baseflow"
"2",124,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0863908376092635,"Positive",0.117161403379046,"Dry-season duration","Dry-season baseflow"
"3",163.5,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.037112780572538,"Positive",0.034506365025952,"Dry-season duration","Dry-season baseflow"
"4",43,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.373279486148329,"Positive",0.598365283442564,"Dry-season duration","Dry-season baseflow"
"5",166,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0351354968408012,"Positive",0.0311898287721007,"Dry-season duration","Dry-season baseflow"
"6",122,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0900454137517947,"Positive",0.123291294640791,"Dry-season duration","Dry-season baseflow"
"7",125.5,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0837385916455012,"Positive",0.112712739916255,"Dry-season duration","Dry-season baseflow"
"8",91.5,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.165189698343532,"Positive",0.249332256854803,"Dry-season duration","Dry-season baseflow"
"9",166,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0351354968408012,"Positive",0.0311898287721007,"Dry-season duration","Dry-season baseflow"
"10",162.5,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0379332957357288,"Positive",0.0358826309820608,"Dry-season duration","Dry-season baseflow"
"11",0,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.612729843498573,"Positive",1,"Dry-season duration","Dry-season baseflow"
"12",162.5,"H_ASCI",0,"DS_Dur_WS",0.86,"H_ASCI_DS_Dur_WS_0.86",0.0379332957357288,"Positive",0.0358826309820608,"Dry-season duration","Dry-season baseflow"
