"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","Flow.Metric.Name","Flow.Component"
"1",197.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.000254393146412254,"Positive",0,"Dry-season duration","Dry-season baseflow"
"2",38,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.338820444884559,"Positive",0.446567091518955,"Dry-season duration","Dry-season baseflow"
"3",24.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.493842046137372,"Positive",0.651039882688289,"Dry-season duration","Dry-season baseflow"
"4",148.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00262727701773658,"Positive",0.00312982309800245,"Dry-season duration","Dry-season baseflow"
"5",130,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00632585043939415,"Positive",0.00800822471919144,"Dry-season duration","Dry-season baseflow"
"6",132,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.0057535919963106,"Positive",0.00725341842005713,"Dry-season duration","Dry-season baseflow"
"7",56,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.178415761527754,"Positive",0.234994039392428,"Dry-season duration","Dry-season baseflow"
"8",5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.712073645486323,"Positive",0.938886375561604,"Dry-season duration","Dry-season baseflow"
"9",150.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00238880004965708,"Positive",0.00281527305530683,"Dry-season duration","Dry-season baseflow"
"10",151,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00233263493210553,"Positive",0.00274119151918987,"Dry-season duration","Dry-season baseflow"
"11",18,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.570870461856256,"Positive",0.752640014760891,"Dry-season duration","Dry-season baseflow"
"12",3,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.731230082088876,"Positive",0.964153628830357,"Dry-season duration","Dry-season baseflow"
"13",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"14",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"15",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"16",1,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.749560250921574,"Positive",0.98833103864639,"Dry-season duration","Dry-season baseflow"
"17",156.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00179534692420882,"Positive",0.00203251106595879,"Dry-season duration","Dry-season baseflow"
"18",0.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.754010473626087,"Positive",0.994200862273311,"Dry-season duration","Dry-season baseflow"
"19",161.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00141494354443764,"Positive",0.00153076072791905,"Dry-season duration","Dry-season baseflow"
"20",166,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00114193283954273,"Positive",0.00117066084249771,"Dry-season duration","Dry-season baseflow"
"21",10.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.655462460968608,"Positive",0.86421647913303,"Dry-season duration","Dry-season baseflow"
"22",9,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.671435519417839,"Positive",0.885284871010229,"Dry-season duration","Dry-season baseflow"
"23",163,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00131737410089858,"Positive",0.00140206707302166,"Dry-season duration","Dry-season baseflow"
"24",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"25",0.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.754010473626087,"Positive",0.994200862273311,"Dry-season duration","Dry-season baseflow"
"26",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"27",17,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.582513809810969,"Positive",0.767997538071293,"Dry-season duration","Dry-season baseflow"
"28",164,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00125609018519897,"Positive",0.0013212338652905,"Dry-season duration","Dry-season baseflow"
"29",84.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.0528245169164476,"Positive",0.0693397555728151,"Dry-season duration","Dry-season baseflow"
"30",162.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00134912685411649,"Positive",0.00144394881095564,"Dry-season duration","Dry-season baseflow"
"31",126,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00764542440606264,"Positive",0.00974873681517393,"Dry-season duration","Dry-season baseflow"
"32",162.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00134912685411649,"Positive",0.00144394881095564,"Dry-season duration","Dry-season baseflow"
"33",124,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00840425600666904,"Positive",0.010749632265547,"Dry-season duration","Dry-season baseflow"
"34",0.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.754010473626087,"Positive",0.994200862273311,"Dry-season duration","Dry-season baseflow"
"35",48.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.236966451858084,"Positive",0.312222135218955,"Dry-season duration","Dry-season baseflow"
"36",57,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.17153093893707,"Positive",0.225912989522952,"Dry-season duration","Dry-season baseflow"
"37",163.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00128636771086939,"Positive",0.00136116978475914,"Dry-season duration","Dry-season baseflow"
"38",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"39",166,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.00114193283954273,"Positive",0.00117066084249771,"Dry-season duration","Dry-season baseflow"
"40",43.5,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.282743424580638,"Positive",0.372601755273313,"Dry-season duration","Dry-season baseflow"
"41",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
"42",63,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.134586136809379,"Positive",0.177182962551239,"Dry-season duration","Dry-season baseflow"
"43",0,"CSCI",0,"DS_Dur_WS",0.79,"CSCI_DS_Dur_WS_0.79",0.758407105623605,"Positive",1,"Dry-season duration","Dry-season baseflow"
