"","masterid","latitude","longitude","county","COMID","geometry"
"1","114KLCT42",38.6414,-122.6641,"Sonoma",8272261,c(-122.6641, 38.6414)
"2","114KLCT53",38.6438,-122.66015,"Sonoma",8272261,c(-122.66015, 38.6438000000001)
"3","BA-4",39.41243281,-123.3401443,"Mendocino",8307024,c(-123.3401443, 39.41243281)
"4","106NC0710",40.70977,-123.68112,"Humboldt",8232164,c(-123.68112, 40.70977)
"5","111NC0569",40.51317,-123.90426,"Humboldt",2703445,c(-123.90426, 40.5131700000001)
"6","106NC0938",40.9822,-122.7217,"Trinity",8245434,c(-122.7217, 40.9822)
"7","106NC0678",41.0465,-123.5777,"Humboldt",8241184,c(-123.5777, 41.0465)
"8","BA-2",39.37689941,-123.3263824,"Mendocino",8307150,c(-123.3263824, 39.3768994100001)
"9","106MJE008",40.39161,-123.27622,"Trinity",8234886,c(-123.27622, 40.3916100000001)
"10","111MJE007",40.04008,-123.86636,"Humboldt",8285482,c(-123.86636, 40.04008)
"11","111MJE004",40.23447,-123.91526,"Humboldt",8284992,c(-123.91526, 40.23447)
"12","111MJE003",40.23387,-123.91645,"Humboldt",8284992,c(-123.91645, 40.23387)
"13","105FCA056",41.4564,-123.93556,"Humboldt",4442410,c(-123.93556, 41.4564)
"14","105FCA020",41.31853,-123.52796,"Humboldt",4442592,c(-123.52796, 41.3185300000001)
"15","111FCA063",40.31844,-123.77101,"Humboldt",2706253,c(-123.77101, 40.3184400000001)
"16","114FCA031",38.81627,-123.01119,"Sonoma",8270711,c(-123.01119, 38.81627)
"17","103FCA168",41.65021,-124.09143,"Del Norte",22226990,c(-124.09143, 41.6502100000001)
"18","114FCA199",38.83,-122.90806,"Sonoma",8271877,c(-122.90806, 38.83)
"19","114CR0903",38.81627,-123.01119,"Sonoma",8270711,c(-123.01119, 38.81627)
"20","114FCA002",38.50417,-122.78806,"Sonoma",8272561,c(-122.78806, 38.50417)
"21","105FCA116",41.31833,-123.04833,"Siskiyou",8257773,c(-123.04833, 41.3183300000001)
"22","105FC1297",41.3286,-123.41992,"Siskiyou",8257759,c(-123.41992, 41.3286000000001)
"23","103FC1106",41.93373,-124.1084,"Del Norte",22226634,c(-124.1084, 41.93373)
"24","106FC1313",40.87032,-122.80039,"Trinity",8245598,c(-122.80039, 40.87032)
"25","111MJE010",40.94707,-123.66389,"Humboldt",8243372,c(-123.66389, 40.9470700000001)
"26","113NRR2xx",39.42787,-123.7407,"Mendocino",2663781,c(-123.7407, 39.42787)
"27","111MJE002",40.49255,-123.90532,"Humboldt",2705381,c(-123.90532, 40.4925500000001)
"28","113NRR3xx",39.42807,-123.74115,"Mendocino",2663779,c(-123.74115, 39.42807)
"29","111MJE005",40.12311,-123.8424,"Humboldt",8285238,c(-123.8424, 40.1231100000001)
"30","111MJE009",40.02222,-123.86395,"Humboldt",8285518,c(-123.86395, 40.0222200000001)
"31","111MJE006",40.04045,-123.86707,"Humboldt",8285482,c(-123.86707, 40.0404500000001)
